,title,region,version,crc32,status,Project Lunar Version,notes,EXTRA FILES,,,,,,,,,,,,,,,,,
,007 Shitou - The Duel,Japan,,AEB4B262,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,10 Super Jogos,Brazil,,C19AE368,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,16t,Japan,SegaNet,537F04B6,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,2020 Nen Super Baseball,Japan,,2BBEE127,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,3 Ninjas Kick Back,USA,,E5A24999,Doesn't Work,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,3 Ninjas Kick Back,USA,h1C,1D593079,Doesn't work,1.0.25.41117,Black screen after player selection,,,,,,,,,,,,,,,,,,
,3 Ninjas Kick Back,USA,h2C,A1208C59,Doesn't work,1.0.25.41117,Black screen after player selection,,,,,,,,,,,,,,,,,,
,3-in-1 Flashback - World Champ. Soccer - Tecmo World Cup 92,,p1,A8FD28D7,Works,1.0.25.41117,Only Flashback plays,,,,,,,,,,,,,,,,,,
,3-in-1 Road Rash - Ms. Pac-Man - Block Out,,p1,13C96154,Works,1.0.25.41117,Only Road Rash plays,,,,,,,,,,,,,,,,,,
,4-in-1,,,BE72857B,Doesn't Work,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,5-in-1 Megadrive Portable,,p1,9A8F8E0E,Works,1.0.25.41117,Only Tiny Toons Adventures plays,,,,,,,,,,,,,,,,,,
,6-Pak,USA,,1A6F45DC,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,688 Attack Sub,"USA, Europe",,F2C58BF7,Works,1.0.7251.17961,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,688 Attack Sub,"USA, Europe",h1C,861038D4,Works,1.0.25.41117,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,688 Attack Sub,"USA, Europe",h2C,4DD085E7,Works,1.0.25.41117,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,688 Attack Sub,"USA, Europe",h3C,3994BB11,Works,1.0.25.41117,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,777 Casino,China,h1C,F14D3F2E,Unplayable,1.0.25.41117,Seems to be missing the On-screen player character entirely,,,,,,,,,,,,,,,,,,
,777 Casino,China,h2C,74B17EAF,Unplayable,1.0.25.41117,Seems to be missing the On-screen player character entirely,,,,,,,,,,,,,,,,,,
,A Ressha de Gyoukou MD,Japan,h1C,8C2039C9,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,A Ressha de Gyoukou MD,Japan,h2C,4DCB7C09,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,A Ressha de Ikou MD,Japan,,3D45DE4F,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Aa Harimanada,Japan,,065F6021,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Aaahh!!! Real Monsters,USA,,FDC80BFC,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Aaahh!!! Real Monsters,Europe,,7AD115FF,Doesn't Work,1.0.7251.17961,Black Screen. Dont even load the game,,,,,,,,,,,,,,,,,,
,AAAHH!!! Real Monsters,"USA, Europe",h1C,3E894184,Works,1.0.25.41117,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,AAAHH!!! Real Monsters,"USA, Europe",h2C,440A59EF,Works,1.0.25.41117,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Activator Command Demo 30 Hz,USA,,4CD5674C,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,Activator Command Demo 60 Hz,USA,,6A9E4D2C,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,Addams Family Values,Europe,,B906B992,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Addams Family Values,Europe,h1C,A74ECEF2,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,"Addams Family, The","USA, Europe",,71F58614,Works,1.0.7251.17962,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,"Addams Family, The",,a1,3A173E1F,Doesn't work,1.0.25.41117,Black screen on level start,,,,,,,,,,,,,,,,,,
,Advanced Busterhawk Gleylancer,Japan,,42CF9B5B,Works,,,,,,,,,,,,,,,,,,,,
,Advanced Daisenryaku,Japan,,EE3C9C8A,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,Advanced Daisenryaku - Deutsch Dengeki Sakusen,Japan,Rev A,E0D5E18A,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,"Adventures of Batman & Robin, The",Europe,,355E8C39,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,"Adventures of Batman & Robin, The",USA,,0CAAA4AC,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,"Adventures of Mighty Max, The",Europe,,24F1A3BB,Works,1.0.7251.40474,Image is downscaled ,,,,,,,,,,,,,,,,,,
,"Adventures of Mighty Max, The",USA,,55F13A00,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,"Adventures of Rocky and Bullwinkle and Friends, The",USA,,EF02D57B,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Aero Blasters,Japan,,A00DA987,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Aero the Acro-Bat,Europe,,1A3EAF57,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Aero the Acro-Bat,USA,,A3A7A8B5,Works,1.0.7251.17961,,,,,,,,,,,,,,,,,,,
,Aero the Acro-Bat 2,Europe,,A451F9A1,Has Problems,1.0.7251.40474,After Ector bonus minigame sound just mutes.,,,,,,,,,,,,,,,,,,
,Aero the Acro-Bat 2,USA,,39EB74EB,Has Problems,1.0.7251.17961,After Ector bonus minigame sound just mutes.,,,,,,,,,,,,,,,,,,
,Aerobiz,USA,,CFAA9BCE,Works,,,,,,,,,,,,,,,,,,,,
,Aerobiz Supersonic,USA,,9377F1B5,Works,,,,,,,,,,,,,,,,,,,,
,After Burner II,Japan,,4FF37E66,Doesn't Work,1.0.7251.40474,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,"USA, Europe",,CCAFE00E,Doesn't Work,,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,Japan,h1C,E8FC1F30,Doesn't Work,1.0.25.41117,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,Japan,p1,9AEA1D27,Doesn't Work,1.0.25.41117,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
,After Burner II,Japan,p2,E6E23111,Doesn't Work,1.0.25.41117,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
